2026-07-22 16:46:44,736 | INFO     | main.py | home | Line 20 | Home page arrived
2026-07-22 16:59:55,589 | INFO     | main.py | home | Line 20 | Home page arrived
2026-07-22 17:00:11,079 | INFO     | auth.py | login | Line 31 | Login post page arrived
2026-07-22 17:04:20,927 | INFO     | main.py | home | Line 20 | Home page arrived
2026-07-22 17:04:42,998 | INFO     | auth.py | login | Line 31 | Login post page arrived
2026-07-22 18:40:04,960 | INFO     | main.py | home | Line 20 | Home page arrived
2026-07-22 18:40:50,231 | INFO     | auth.py | login | Line 31 | Login post page arrived
2026-07-22 18:40:51,323 | INFO     | admin.py | get_all_employees | Line 25 | Admin get all employees  page arrived
2026-07-22 18:40:51,332 | INFO     | admin.py | get_all_teams | Line 35 | Admin get all teams  page arrived
2026-07-22 18:41:54,790 | INFO     | admin.py | get_all_employees | Line 25 | Admin get all employees  page arrived
2026-07-22 18:41:54,813 | INFO     | admin.py | get_all_teams | Line 35 | Admin get all teams  page arrived
2026-07-22 18:42:28,803 | INFO     | auth.py | login | Line 31 | Login post page arrived
2026-07-22 18:42:28,904 | INFO     | ticket.py | get_team_open_tickets | Line 40 | Admin get team open tickets page arrived
2026-07-22 18:42:28,932 | INFO     | ticket.py | get_assigned_tickets | Line 22 | Admin get assigned tickets page arrived
2026-07-23 11:18:10,490 | INFO     | main.py | home | Line 35 | Home page arrived
2026-07-23 11:19:20,505 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:21:09,029 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:21:29,963 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:21:43,162 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:22:13,240 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:22:14,415 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:22:14,942 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:22:15,123 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:22:15,347 | INFO     | auth.py | register | Line 135 | Register post page arrived
2026-07-23 11:25:04,248 | INFO     | main.py | home | Line 35 | Home page arrived
2026-07-23 11:25:24,176 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 11:25:28,396 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:25:28,407 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 11:25:32,558 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 11:25:32,565 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
